code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.002153,2019-08-29,2019-06-30,0.024955,0.157150,0.469320,238304720.280000,0.438174,1516415121.610000,1067913281.00,485587571.00
sz.002153,2020-08-27,2020-06-30,0.006719,0.047923,0.410766,65448412.650000,0.203193,1365687705.950000,1070744175.00,487900965.00
sz.002168,2017-08-01,2017-06-30,-0.047988,-0.427165,0.273689,-65048114.200000,0.038276,140887669.670000,820589768.00,766059768.00
sz.002168,2018-08-21,2018-06-30,0.160748,0.255364,0.737448,286394822.080000,0.252465,1121067248.790000,820589768.00,783764768.00
sz.002168,2019-08-23,2019-06-30,0.029156,0.202855,0.693072,88665739.090000,0.176536,434703243.350000,814139568.00,794579643.00
sz.002168,2020-08-26,2020-06-30,0.017491,0.102336,0.683900,52544148.920000,0.138088,513448852.430000,801929568.00,792858393.00
sz.002174,2017-08-24,2017-06-30,0.118191,0.201644,0.470668,338699360.110000,0.804478,1679690336.240000,861315045.00,548792392.00
sz.002174,2018-08-29,2018-06-30,0.120453,0.276882,0.575733,494730033.660000,0.910989,1786787310.700000,888467873.00,618765770.00
sz.002174,2019-08-31,2019-06-30,0.085458,0.235277,0.530645,407000184.690000,1.039087,1729874938.240000,888467873.00,644886620.00
sz.002174,2020-08-26,2020-06-30,0.093106,0.197099,0.387718,496055405.880000,0.381900,2516786165.630000,901364231.00,675221121.00
sz.002195,2017-08-18,2017-06-30,0.066225,0.424283,0.910967,452319003.340000,0.260512,1066077322.530000,3285446248.00,1872915411.00
sz.002195,2018-08-17,2018-06-30,0.077599,0.465759,0.872334,613764733.610000,0.249957,1317153491.490000,4435684822.00,4229971688.00
sz.002195,2019-08-15,2019-06-30,0.067275,0.389265,0.917596,700611051.130000,0.242489,1799832073.300000,5770427743.00,5581730028.00
sz.002195,2020-08-18,2020-06-30,0.020490,0.321199,0.921665,209528321.000000,0.056319,652063077.110000,5724847663.00,5643999427.00
sz.002197,2017-08-24,2017-06-30,0.003411,0.008398,0.255277,6306969.530000,0.102916,750965951.840000,519678668.00,340689298.00
sz.002197,2018-08-11,2018-06-30,0.012156,0.043466,0.300293,27939589.090000,0.131002,642793957.910000,515156948.00,434568314.00
sz.002197,2019-08-07,2019-06-30,0.007340,0.022609,0.316114,12604275.380000,-0.499170,557494406.990000,515156948.00,434561814.00
sz.002197,2020-08-21,2020-06-30,0.004709,0.013857,0.351822,6757554.020000,0.027017,487680201.580000,515156948.00,435069582.00
sz.002212,2017-08-29,2017-06-30,-0.001788,-0.006458,0.178200,-11716055.010000,0.012483,1811635451.790000,1146902165.00,231404892.00
sz.002212,2018-08-25,2018-06-30,0.001283,0.002635,0.149018,7209850.110000,0.389774,2732550825.330000,1146902165.00,642455356.00
sz.002212,2019-08-30,2019-06-30,-0.009540,-0.031678,0.198806,-81697340.270000,0.341715,2572625035.840000,1158483285.00,896421771.00
sz.002212,2020-08-31,2020-06-30,-0.023414,-0.092803,0.176082,-220545175.820000,0.235460,2376487106.430000,1158483285.00,1123479392.00
sz.002235,2017-08-24,2017-06-30,0.015766,0.129860,0.281719,37148186.090000,0.105435,284134729.030000,413736540.00,269395053.00
sz.002235,2018-08-22,2018-06-30,0.022279,0.145802,0.267107,49657785.000000,-0.565584,338349428.420000,623964810.00,500354168.00
sz.002235,2019-08-28,2019-06-30,0.046354,0.507360,0.323311,100219875.540000,0.209373,193394495.020000,601276238.00,500366731.00
sz.002235,2020-08-27,2020-06-30,-0.005359,-0.061303,0.191687,-10258980.140000,-0.148360,162881855.760000,580586284.00,530343477.00
sz.002261,2017-08-21,2017-06-30,0.033767,0.233447,0.639153,128573930.770000,0.190969,550762150.660000,1111149436.00,925683575.00
sz.002261,2018-08-27,2018-06-30,0.003693,0.027506,0.528441,13413982.980000,-0.044379,487669998.950000,1110641516.00,972014729.00
sz.002261,2019-08-30,2019-06-30,0.011678,0.051677,0.494345,28202692.670000,-1.227243,545748205.040000,1100766874.00,879173176.00
sz.002261,2020-07-15,2020-06-30,0.014453,0.058157,0.427706,35097314.880000,0.026183,603488684.550000,1100766874.00,944458190.00
sz.002298,2017-08-24,2017-06-30,0.019383,0.119091,0.324916,91934078.330000,0.233391,771962750.230000,703960660.00,392969466.00
sz.002298,2018-08-22,2018-06-30,0.019455,0.090648,0.292109,90262566.400000,0.248565,995744293.970000,703960660.00,468093272.00
sz.002298,2019-08-28,2019-06-30,0.026899,0.083838,0.293605,103743446.230000,0.296006,1237429229.150000,691505915.00,527793918.00
sz.002298,2020-07-22,2020-06-30,0.036211,0.115919,0.370186,140428529.920000,0.473801,1211439417.120000,691505915.00,549717168.00
sz.002316,2017-08-24,2017-06-30,-0.048325,-0.186184,0.102688,-40206926.770000,-0.081816,215952781.090000,393120000.00,314932725.00
sz.002316,2018-08-04,2018-06-30,0.042596,0.085701,0.345939,141576221.190000,0.133190,1651971101.860000,393120000.00,293413643.00
sz.002316,2019-08-24,2019-06-30,0.041910,0.065895,0.263384,138252958.020000,0.257706,2096807608.290000,393120000.00,293413643.00
sz.002316,2020-08-29,2020-06-30,-0.044017,-0.017381,0.134278,-28899773.950000,-0.551788,1661795950.740000,393120000.00,293413643.00
sz.002380,2017-07-28,2017-06-30,0.024915,0.209524,0.419795,49740493.370000,0.392201,237398045.230000,239991649.00,142120803.00
sz.002380,2018-07-28,2018-06-30,0.026445,0.217610,0.437338,55224531.040000,0.476747,252838438.630000,239991649.00,143353629.00
sz.002380,2019-07-27,2019-06-30,0.031068,0.215614,0.448497,66448732.670000,0.513196,307835454.620000,239991649.00,143353629.00
sz.002380,2020-08-05,2020-06-30,0.030953,0.188798,0.422470,70546059.970000,0.543298,,239991649.00,143353629.00
sz.002405,2017-08-28,2017-06-30,0.025928,0.110617,0.762365,92234906.240000,0.155580,832121685.680000,1282615013.00,1017938927.00
sz.002405,2018-08-22,2018-06-30,0.024387,0.130033,0.758237,128777128.830000,0.239473,987617559.260000,1282424513.00,1034474838.00
sz.002405,2019-08-26,2019-06-30,0.011815,0.056506,0.740349,61235718.390000,0.204553,1071259634.440000,1962465690.00,1562283145.00
sz.002405,2020-08-28,2020-06-30,-0.020968,-0.191531,0.577371,-184153155.990000,0.046099,950299290.180000,1961563170.00,1910079121.00
sz.002425,2017-08-29,2017-06-30,0.028466,0.339539,0.684921,95961641.950000,0.253245,273161082.600000,813744432.00,751599587.00
sz.002425,2018-07-31,2018-06-30,0.031598,0.393806,0.593545,117381051.140000,0.335771,288511917.030000,813744432.00,804381635.00
sz.002425,2019-08-28,2019-06-30,0.045264,0.417359,0.735567,180473175.020000,0.419496,425020071.200000,813744432.00,813594432.00
sz.002425,2020-08-27,2020-06-30,0.028430,0.384922,0.738609,117525347.870000,0.180488,299818456.590000,813744432.00,812990264.00
sz.002439,2017-08-03,2017-06-30,-0.000064,-0.005702,0.679879,-3932478.470000,0.289195,679983353.100000,896692587.00,575390486.00
sz.002439,2018-08-03,2018-06-30,0.007493,0.021452,0.630735,15883137.310000,0.530113,728824865.540000,896692587.00,585455619.00
sz.002439,2019-08-06,2019-06-30,0.003760,0.009059,0.634749,7990699.920000,0.623859,871792586.770000,896692587.00,634265590.00
sz.002439,2020-08-04,2020-06-30,-0.004481,-0.031658,0.712924,-23888789.820000,0.699606,,933583742.00,714007126.00
sz.002447,2017-08-31,2017-06-30,0.013736,0.367416,0.720793,54258185.730000,0.335256,147674914.300000,952452000.00,640378950.00
sz.002447,2018-08-31,2018-06-30,0.041851,0.417460,0.760990,88017692.120000,0.226544,195109740.330000,1427193000.00,1327447800.00
sz.002447,2019-08-29,2019-06-30,0.000315,0.009834,0.550393,497085.540000,-0.507318,34706797.360000,1427193000.00,1350699863.00
sz.002447,2020-08-15,2020-06-30,0.003599,0.160584,0.359491,2022876.680000,-0.699157,468043.810000,1427193000.00,1350699863.00
sz.002464,2017-08-23,2017-06-30,0.067840,0.512758,0.832854,82440501.670000,0.946787,155632936.750000,232943924.00,232943924.00
sz.002464,2018-08-23,2018-06-30,0.075035,0.275643,0.646717,106873052.360000,0.664358,387723000.640000,326121493.00,283190741.00
sz.002464,2019-08-16,2019-06-30,0.051438,0.254914,0.589115,77653707.320000,0.136464,288736610.870000,521794388.00,521749964.00
sz.002464,2020-08-15,2020-06-30,-0.194099,-0.183716,0.752076,-22756880.040000,-2.776593,123839323.190000,521794388.00,521794388.00
sz.002474,2017-08-24,2017-06-30,0.014753,0.064209,0.364494,19160715.300000,0.047331,298411143.690000,622200000.00,465277406.00
sz.002474,2018-08-31,2018-06-30,0.017585,0.068589,0.304432,23731313.840000,0.059766,345994890.240000,622200000.00,468768270.00
sz.002474,2019-08-26,2019-06-30,0.013356,0.070480,0.365779,22485221.500000,0.046927,319029897.840000,622200000.00,469278270.00
sz.002474,2020-08-26,2020-06-30,0.007296,0.039398,0.414536,9971950.740000,0.066748,253109972.190000,622200000.00,478135770.00
sz.002517,2017-08-28,2017-06-30,0.116518,0.317130,0.644838,412038544.470000,1.185183,1299274369.130000,717505878.00,236794370.00
sz.002517,2018-08-27,2018-06-30,0.075315,0.389297,0.747931,430389938.710000,0.728139,1105557526.690000,2152517634.00,874467306.00
sz.002517,2019-08-27,2019-06-30,0.009568,0.071726,0.682176,75421957.320000,-0.069739,1051535963.440000,2152517634.00,1483498212.00
sz.002517,2020-08-28,2020-06-30,0.017818,0.080614,0.659606,65442570.700000,-0.878342,811797902.320000,2152517634.00,1423644878.00
sz.002530,2017-08-17,2017-06-30,0.021132,0.234415,0.489511,81287670.350000,0.240695,346768027.260000,490741853.00,171098100.00
sz.002530,2018-08-21,2018-06-30,0.021484,0.200170,0.451013,93351484.890000,0.301246,466360904.460000,785186964.00,338558195.00
sz.002530,2019-08-20,2019-06-30,0.019610,0.162433,0.409663,90891610.370000,0.371266,559563698.520000,785186964.00,373696307.00
sz.002530,2020-08-25,2020-06-30,0.008767,0.064424,0.316559,36836382.380000,-0.939616,571780377.500000,779198175.00,636881461.00
sz.002544,2017-08-26,2017-06-30,0.015516,0.014405,0.174868,19457186.160000,0.214617,1350682009.820000,515760000.00,511539980.00
sz.002544,2018-08-24,2018-06-30,0.018106,0.018326,0.175732,40718950.330000,0.321785,2221940636.900000,571388692.00,511539980.00
sz.002544,2019-08-20,2019-06-30,0.019598,0.018756,0.183154,44754240.700000,0.027450,2386082593.160000,571157220.00,512662189.00
sz.002544,2020-08-27,2020-06-30,0.016229,0.015986,0.181374,36062140.290000,0.051925,2255908528.940000,576815720.00,512662189.00
sz.002558,2017-08-25,2017-06-30,0.090096,0.522884,0.818670,733561582.120000,0.625660,1399036246.260000,2024379932.00,347934260.00
sz.002558,2018-08-30,2018-06-30,0.081507,0.372900,0.716997,745608801.080000,0.643844,1995679687.030000,2024379932.00,427109360.00
sz.002558,2019-08-31,2019-06-30,0.056513,0.402922,0.833599,526122018.920000,0.430905,1300020453.400000,2024379932.00,2024379932.00
sz.002558,2020-08-28,2020-06-30,0.065859,0.436382,0.863314,533615188.900000,0.416044,1222817260.300000,2024379932.00,2024379932.00
sz.002602,2017-08-24,2017-06-30,0.131697,0.378492,0.313271,618052418.080000,0.824553,1632933466.800000,1027092040.00,587724980.00
sz.002602,2018-08-30,2018-06-30,0.074292,0.182690,0.404757,711589793.830000,0.599675,3895063047.660000,1459222653.00,798163355.00
sz.002602,2019-08-27,2019-06-30,0.063427,0.174816,0.494353,1212258172.640000,0.161390,6934492129.980000,3703871881.00,2592394079.00
sz.002602,2020-08-29,2020-06-30,0.059475,0.208517,0.543270,1619767207.700000,0.435175,7768041470.170000,6226703160.00,2592394078.00
sz.002605,2017-08-29,2017-06-30,0.023348,0.132021,0.290930,37622241.330000,0.213457,271993008.020000,397169187.00,268637728.00
sz.002605,2018-08-31,2018-06-30,0.027733,0.207649,0.408004,64476352.270000,0.215372,296878069.680000,397169187.00,267362225.00
sz.002605,2019-08-20,2019-06-30,0.089377,0.264653,0.636552,207078556.170000,0.568500,766102328.550000,398209187.00,257810498.00
sz.002605,2020-08-26,2020-06-30,0.459736,0.811701,0.661676,826904012.450000,2.490596,996918149.320000,399970187.00,270997982.00
sz.002771,2017-08-04,2017-06-30,0.049712,0.079417,0.259521,29663726.120000,0.411433,373519922.510000,161600200.00,71305990.00
sz.002771,2018-07-31,2018-06-30,0.031034,0.059763,0.253750,20075107.390000,0.369386,335909307.150000,161600200.00,77837950.00
sz.002771,2019-07-26,2019-06-30,0.015278,0.034125,0.258408,10253437.730000,0.153714,300464403.880000,209893580.00,128456869.00
sz.002771,2020-08-26,2020-06-30,0.009505,0.021318,0.251414,5134964.350000,0.145886,240876398.770000,209764100.00,148872662.00
sz.300002,2017-08-29,2017-06-30,0.003033,0.005936,0.441017,7089132.480000,0.141779,1179074016.550000,1961091984.00,1383381499.00
sz.300002,2018-08-30,2018-06-30,-0.026748,-0.219175,0.737813,-143144056.070000,-0.016174,637145314.700000,1961091984.00,1406558187.00
sz.300002,2019-08-28,2019-06-30,-0.042516,-0.338430,0.719761,-220870859.450000,-0.000657,652634066.300000,1961091984.00,1415030218.00
sz.300002,2020-08-28,2020-06-30,0.023778,0.057535,0.641656,74550667.280000,-0.596340,1295748662.010000,1961091984.00,1628923179.00
sz.300010,2017-08-29,2017-06-30,0.006535,0.051021,0.427994,34733552.410000,0.326648,679638975.150000,872610697.00,458756558.00
sz.300010,2018-08-30,2018-06-30,-0.010400,-0.086925,0.431903,-47801862.570000,0.127242,540566556.330000,873060697.00,642504711.00
sz.300010,2019-08-29,2019-06-30,0.011801,0.030791,0.364100,27795938.680000,-1.493624,889269131.360000,868324647.00,727250928.00
sz.300010,2020-08-25,2020-06-30,-0.028681,-0.135883,0.289422,-96900487.010000,-0.118945,704843860.620000,868324647.00,727451502.00
sz.300025,2017-08-26,2017-06-30,0.028787,0.062216,0.289017,39074316.950000,0.170234,622738637.060000,428530562.00,339354438.00
sz.300025,2018-08-30,2018-06-30,-0.042975,-0.074267,0.138397,-47228740.280000,-0.444572,635931629.370000,428530562.00,389349763.00
sz.300025,2019-08-10,2019-06-30,0.004532,0.005585,0.183869,2975942.140000,0.106374,532863081.230000,428530562.00,399093794.00
sz.300025,2020-08-28,2020-06-30,-0.083164,-0.114953,0.108442,-38561375.320000,-0.595523,335454011.340000,428530562.00,399144532.00
sz.300038,2017-08-19,2017-06-30,0.042763,0.192107,0.309758,183223811.910000,0.768783,950143715.520000,317319212.00,145696696.00
sz.300038,2018-08-25,2018-06-30,0.035946,0.181474,0.323514,362715610.390000,0.574464,1992132125.230000,1171827123.00,409995970.00
sz.300038,2019-08-24,2019-06-30,0.040318,0.185964,0.300605,432307076.050000,0.600763,2324676664.630000,1171827123.00,805721756.00
sz.300038,2020-08-27,2020-06-30,0.012960,0.059189,0.166443,140484580.850000,0.245554,2373480780.540000,1171827123.00,1160984263.00
sz.300043,2017-08-25,2017-06-30,0.068389,0.133353,0.333967,174031708.710000,0.284143,1225660975.190000,1244198401.00,823869704.00
sz.300043,2018-08-07,2018-06-30,0.054254,0.087445,0.471997,143307216.320000,0.165930,1610602376.620000,1244198401.00,902705478.00
sz.300043,2019-08-30,2019-06-30,0.044758,0.112863,0.465916,126694844.400000,0.179458,1069771413.780000,1244198401.00,914862420.00
sz.300043,2020-08-27,2020-06-30,-0.015087,-0.052469,0.322693,-44450890.600000,0.071187,795353372.550000,1244198401.00,914739412.00
sz.300044,2017-08-29,2017-06-30,0.040265,0.085339,0.224069,49717192.770000,0.313252,580829210.850000,400397211.00,244517912.00
sz.300044,2018-08-30,2018-06-30,0.036274,0.144379,0.327080,84521067.120000,0.276135,585410311.730000,778524769.00,467845774.00
sz.300044,2019-08-30,2019-06-30,0.036673,0.134221,0.273152,94092000.330000,0.101787,701021269.180000,777504043.00,529521245.00
sz.300044,2020-08-28,2020-06-30,0.050189,0.133817,0.363374,90732281.360000,-0.600193,678031232.660000,784419228.00,546291633.00
sz.300050,2017-07-28,2017-06-30,0.033546,0.203397,0.431242,68007729.130000,0.278912,333104419.170000,498914466.00,330763511.00
sz.300050,2018-08-28,2018-06-30,0.010560,0.063105,0.413808,29043005.140000,0.122943,459542821.170000,560861718.00,365281272.00
sz.300050,2019-08-28,2019-06-30,0.007079,0.035831,0.321867,19389154.330000,0.086916,537169900.990000,544846718.00,382279097.00
sz.300050,2020-08-27,2020-06-30,0.006092,0.030459,0.250017,13948250.970000,-0.854014,456981914.970000,571596718.00,381766822.00
sz.300052,2017-08-11,2017-06-30,0.015073,0.059112,0.533875,9843922.750000,-0.174325,162637808.080000,261038600.00,260204657.00
sz.300052,2018-08-13,2018-06-30,0.036072,0.196660,0.561015,28362138.000000,0.251935,144219445.610000,261038600.00,260041157.00
sz.300052,2019-08-28,2019-06-30,0.034253,0.144050,0.591689,26082902.460000,0.134310,173195859.700000,264708600.00,260041157.00
sz.300052,2020-08-14,2020-06-30,0.010589,0.013245,0.104250,7892238.370000,0.128707,594783359.620000,263269300.00,260194568.00
sz.300074,2017-08-18,2017-06-30,0.006081,0.032944,0.489235,6443674.010000,0.131787,192921788.090000,543213000.00,451100554.00
sz.300074,2018-08-29,2018-06-30,-0.016892,-0.154566,0.425769,-21777068.540000,0.013526,138443083.440000,542771100.00,471951211.00
sz.300074,2019-08-22,2019-06-30,0.006659,0.045698,0.435732,7846407.700000,0.079242,168847219.510000,542340100.00,485624461.00
sz.300074,2020-08-13,2020-06-30,-0.009947,-0.067175,0.432500,-12123819.420000,-0.002771,176871959.210000,536198900.00,493392231.00
sz.300085,2017-08-29,2017-06-30,0.010430,0.034444,0.355280,16397923.430000,0.110572,474002420.600000,684013769.00,351445813.00
sz.300085,2018-08-21,2018-06-30,0.000971,0.005014,0.346622,3195346.620000,0.018993,635125872.410000,706640535.00,390984841.00
sz.300085,2019-08-21,2019-06-30,-0.016871,-0.046851,0.298685,-25289896.610000,0.016764,539796493.990000,706640535.00,415061607.00
sz.300085,2020-08-26,2020-06-30,-0.010238,-0.021369,0.265488,-12585153.860000,0.019438,588941559.800000,706640535.00,380073907.00
sz.300096,2017-08-22,2017-06-30,-0.059494,-0.209762,0.450519,-41218772.040000,-0.073785,196502502.160000,430000000.00,385741941.00
sz.300096,2018-08-23,2018-06-30,-0.028744,-0.075513,0.464835,-19429641.170000,0.089772,257303345.980000,430000000.00,376522079.00
sz.300096,2019-08-26,2019-06-30,-0.021557,-0.049953,0.524990,-13361596.870000,0.045210,267195265.170000,430000000.00,376522079.00
sz.300096,2020-08-26,2020-06-30,-0.066513,-0.167983,0.416274,-53459503.820000,-0.046423,314197551.330000,430000000.00,376518329.00
sz.300113,2017-08-26,2017-06-30,0.086321,0.372478,0.770558,255620057.900000,0.715853,686269259.790000,693370958.00,462107088.00
sz.300113,2018-08-30,2018-06-30,0.096446,0.331019,0.630079,332460078.180000,0.832789,1004352487.360000,694287240.00,468911658.00
sz.300113,2019-08-30,2019-06-30,0.077162,0.357772,0.692741,260299925.880000,0.353590,727557642.480000,694287240.00,477749284.00
sz.300113,2020-08-28,2020-06-30,0.020621,0.160052,0.687508,69884633.890000,-0.113870,430442973.990000,694287240.00,483758789.00
sz.300167,2017-08-18,2017-06-30,0.001559,-0.017589,0.298812,-3644137.450000,0.147946,198327566.530000,300240000.00,300190000.00
sz.300167,2018-08-21,2018-06-30,-0.019359,-0.104667,0.210298,-14288881.500000,-0.068451,125806665.060000,300240000.00,300240000.00
sz.300167,2019-08-30,2019-06-30,0.002444,0.015497,0.292785,3505017.810000,-0.489539,211556698.570000,300240000.00,300240000.00
sz.300167,2020-08-28,2020-06-30,-0.047463,-0.205196,0.267140,-23700965.730000,-0.027549,107661356.890000,300240000.00,300240000.00
sz.300168,2017-08-30,2017-06-30,0.016767,0.037088,0.376812,32320169.070000,0.237153,871448930.510000,1031082642.00,1008582950.00
sz.300168,2018-08-16,2018-06-30,0.026183,0.071240,0.381223,71947258.350000,0.342266,1009921760.420000,1067640574.00,1059440474.00
sz.300168,2019-08-27,2019-06-30,0.009964,0.029198,0.379141,33383288.350000,0.174904,1143323570.430000,1099449688.00,1092130857.00
sz.300168,2020-08-27,2020-06-30,-0.074240,-0.264446,0.283030,-210174129.890000,-1.387702,794772351.190000,1187584762.00,1180500935.00
