code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002065,2020-10-28,2020-09-30,0.889860,303.418402,0.638592,422.805339,0.368056,0.319230
sz.002072,2017-04-29,2017-03-31,0.528609,170.258091,,,0.049580,0.032442
sz.002072,2017-08-19,2017-06-30,1.072932,167.764573,,,0.110238,0.072988
sz.002072,2017-10-21,2017-09-30,1.538072,175.544395,,,0.166860,0.110917
sz.002072,2018-04-28,2018-03-31,0.708873,126.962103,254.750038,0.353287,0.090602,0.062272
sz.002072,2018-08-24,2018-06-30,0.833902,215.852738,122.001468,1.475392,0.109661,0.075901
sz.002072,2018-10-25,2018-09-30,0.922887,292.560043,135.467964,1.993091,0.121626,0.084312
sz.002072,2019-04-30,2019-03-31,0.048237,1865.784743,,,0.006043,0.005589
sz.002072,2019-08-21,2019-06-30,0.607381,296.354477,,,0.049211,0.041510
sz.002072,2019-10-23,2019-09-30,2.175934,124.084665,,,0.205032,0.173360
sz.002072,2020-04-30,2020-03-31,0.152029,591.991950,,,0.019469,0.011604
sz.002072,2020-08-25,2020-06-30,0.316614,568.515535,,,0.042583,0.025469
sz.002072,2020-10-27,2020-09-30,0.447413,603.468826,,,0.057703,0.034451
sz.002095,2017-04-28,2017-03-31,10.037261,8.966589,18.345604,4.905807,0.085825,0.073681
sz.002095,2017-08-25,2017-06-30,24.253070,7.421741,35.029848,5.138475,0.172128,0.148312
sz.002095,2017-10-25,2017-09-30,29.260327,9.227512,52.156483,5.176729,0.253458,0.218965
sz.002095,2018-04-27,2018-03-31,12.319819,7.305302,21.211099,4.243062,0.064932,0.057314
sz.002095,2018-08-28,2018-06-30,28.382287,6.341984,37.944634,4.743754,0.170196,0.150751
sz.002095,2018-10-25,2018-09-30,46.364241,5.823453,48.569125,5.559087,0.265907,0.236033
sz.002095,2019-04-27,2019-03-31,2.309824,38.964010,11.831101,7.607069,0.061593,0.055738
sz.002095,2019-08-24,2019-06-30,4.997993,36.014453,21.133218,8.517397,0.127599,0.115537
sz.002095,2019-10-23,2019-09-30,8.267668,32.657336,43.168741,6.254526,0.218163,0.197934
sz.002095,2020-04-29,2020-03-31,7.323766,12.288759,7.192811,12.512493,0.039870,0.035855
sz.002095,2020-08-27,2020-06-30,17.893595,10.059465,25.195344,7.144177,0.104954,0.094541
sz.002095,2020-10-28,2020-09-30,26.781103,10.081735,53.230758,5.072255,0.169578,0.152361
sz.002113,2017-04-27,2017-03-31,0.614755,146.399686,,,0.136110,0.038005
sz.002113,2017-08-18,2017-06-30,1.374860,130.922381,,,0.320614,0.083544
sz.002113,2017-10-26,2017-09-30,1.975589,136.668136,,,0.456085,0.119305
sz.002113,2018-04-27,2018-03-31,0.926540,97.135592,,,0.124482,0.048302
sz.002113,2018-08-30,2018-06-30,1.789746,100.572952,,,0.225056,0.089008
sz.002113,2018-10-27,2018-09-30,2.533295,106.580578,,,0.363070,0.138596
sz.002113,2019-04-26,2019-03-31,0.899624,100.041806,,,0.125045,0.041785
